sample_id,source_dataset,source_attribution,image_name,object_category,packaging_category,mapped_categories,material_family,material_subtype,confidence,is_packaging,source_label,mapping_confidence,mapping_source,notes,raw_fields
taco_prediction_0018,TACO,user_supplied; dataset membership not independently verified,img_25.jpg,beverage,other_packaging,"[""other_packaging""]",unknown,unknown,,True,"[""bottle"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_25.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic"", ""glass""], ""components"": [""bottle"", ""label""], ""issues"": []}}"
taco_prediction_0019,TACO,user_supplied; dataset membership not independently verified,img_26.jpg,beverage,other_packaging,"[""other_packaging""]",glass,glass,,True,"[""bottle"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_26.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""glass""], ""components"": [""bottle"", ""label""], ""issues"": []}}"
taco_prediction_0020,TACO,user_supplied; dataset membership not independently verified,img_27.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",unknown,unknown,,True,"[""can"", ""bottle""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_27.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic"", ""metal""], ""components"": [""can"", ""bottle""], ""issues"": []}}"
taco_prediction_0021,TACO,user_supplied; dataset membership not independently verified,img_28.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",unknown,unknown,,True,"[""bottle"", ""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_28.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""glass"", ""plastic""], ""components"": [""bottle"", ""can""], ""issues"": []}}"
taco_prediction_0022,TACO,user_supplied; dataset membership not independently verified,img_29.jpg,beverage,metal_can,"[""metal_can""]",metal,metal,,True,"[""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_29.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can""], ""issues"": []}}"
taco_prediction_0023,TACO,user_supplied; dataset membership not independently verified,img_3.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",unknown,unknown,,True,"[""bottle"", ""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_3.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic"", ""metal""], ""components"": [""bottle"", ""can"", ""label""], ""issues"": []}}"
taco_prediction_0024,TACO,user_supplied; dataset membership not independently verified,img_30.jpg,unknown,plastic_tray,"[""plastic_tray""]",plastic,plastic,,True,"[""plastic tray""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_30.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [""plastic tray""], ""issues"": []}}"
taco_prediction_0025,TACO,user_supplied; dataset membership not independently verified,img_31.jpg,beverage,metal_can,"[""metal_can""]",metal,aluminum,,True,"[""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_31.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""aluminum""], ""components"": [""can""], ""issues"": []}}"
taco_prediction_0026,TACO,user_supplied; dataset membership not independently verified,img_32.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_32.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0027,TACO,user_supplied; dataset membership not independently verified,img_33.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""pull tab""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_33.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can"", ""pull tab""], ""issues"": []}}"
taco_prediction_0028,TACO,user_supplied; dataset membership not independently verified,img_34.jpg,beverage,metal_can,"[""metal_can""]",metal,metal,,True,"[""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_34.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can""], ""issues"": []}}"
taco_prediction_0029,TACO,user_supplied; dataset membership not independently verified,img_35.jpg,unknown,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""canister"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_35.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [""canister"", ""label""], ""issues"": []}}"
taco_prediction_0030,TACO,user_supplied; dataset membership not independently verified,img_36.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_36.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0031,TACO,user_supplied; dataset membership not independently verified,img_37.jpg,unknown,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_37.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0032,TACO,user_supplied; dataset membership not independently verified,img_38.jpg,unknown,unknown,[],plastic,plastic,,,[],0.0,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_38.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [], ""issues"": []}}"
taco_prediction_0033,TACO,user_supplied; dataset membership not independently verified,img_39.jpg,unknown,other_packaging,"[""other_packaging"", ""plastic_bottle""]",plastic,plastic,,True,"[""plastic bottle"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_39.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [""plastic bottle"", ""label""], ""issues"": []}}"
taco_prediction_0034,TACO,user_supplied; dataset membership not independently verified,img_4.jpg,beverage,metal_can,"[""metal_can""]",metal,metal,,True,"[""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_4.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can""], ""issues"": []}}"
taco_prediction_0035,TACO,user_supplied; dataset membership not independently verified,img_40.jpg,beverage,other_packaging,"[""other_packaging""]",glass,glass,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_40.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""glass""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0036,TACO,user_supplied; dataset membership not independently verified,img_41.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_41.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""label""], ""issues"": []}}"
taco_prediction_0037,TACO,user_supplied; dataset membership not independently verified,img_42.jpg,beverage,metal_can,"[""metal_can""]",metal,aluminum,,True,"[""can""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_42.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""aluminum""], ""components"": [""can""], ""issues"": []}}"
taco_prediction_0038,TACO,user_supplied; dataset membership not independently verified,img_43.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_43.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap"", ""label""], ""issues"": []}}"
taco_prediction_0039,TACO,user_supplied; dataset membership not independently verified,img_44.jpg,food,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_44.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""metal""], ""components"": [""can"", ""label""], ""issues"": []}}"
taco_prediction_0040,TACO,user_supplied; dataset membership not independently verified,img_45.jpg,food,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_45.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""metal""], ""components"": [""can"", ""label""], ""issues"": []}}"
taco_prediction_0041,TACO,user_supplied; dataset membership not independently verified,img_46.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""pull tab""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_46.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can"", ""pull tab""], ""issues"": []}}"
taco_prediction_0042,TACO,user_supplied; dataset membership not independently verified,img_47.jpg,beverage,other_packaging,"[""other_packaging""]",unknown,unknown,,True,"[""outer box"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_47.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""cardboard"", ""plastic""], ""components"": [""outer box"", ""cap""], ""issues"": []}}"
taco_prediction_0043,TACO,user_supplied; dataset membership not independently verified,img_48.jpg,unknown,carton,"[""carton""]",paper,paperboard,,True,"[""egg carton""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_48.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""paperboard""], ""components"": [""egg carton""], ""issues"": []}}"
taco_prediction_0044,TACO,user_supplied; dataset membership not independently verified,img_49.jpg,food,other_packaging,"[""other_packaging""]",paper,cardboard,,True,"[""outer box"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_49.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""cardboard""], ""components"": [""outer box"", ""label""], ""issues"": []}}"
taco_prediction_0045,TACO,user_supplied; dataset membership not independently verified,img_5.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",unknown,unknown,,True,"[""can"", ""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_5.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic"", ""metal""], ""components"": [""can"", ""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0046,TACO,user_supplied; dataset membership not independently verified,img_6.jpg,personal care,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""canister"", ""spray nozzle""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_6.jpg"", ""analysis"": {""package_type"": ""personal care"", ""materials"": [""plastic""], ""components"": [""canister"", ""spray nozzle""], ""issues"": []}}"
taco_prediction_0047,TACO,user_supplied; dataset membership not independently verified,img_7.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_7.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap"", ""label""], ""issues"": []}}"
taco_prediction_0048,TACO,user_supplied; dataset membership not independently verified,img_8.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_8.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0049,TACO,user_supplied; dataset membership not independently verified,img_9.jpg,food,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_9.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""metal""], ""components"": [""can"", ""label""], ""issues"": []}}"
